"id","Model","est_beta0","est_beta1","est_beta2","Design","Exposure_Highest_Error","Covar","ErrorVar","Truth"
16,"X2",0.983800781162504,1.02781519080696,0.185488219187921,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
16,"X3",1.79371604172235,1.54527576065978,0.755091947141248,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
16,"X4",3.05901639500257,2.23182860415803,0.549925234949634,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
16,"X5",4.10430514949681,2.50569525548567,0.767988697324546,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
17,"X1",-0.0651203983591485,0.474546267993639,0.270585856033297,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
17,"X2",0.874512155406983,1.14778951167873,0.244444257367316,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
17,"X3",2.06753490606043,1.42986064756523,0.542450623840354,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
17,"X4",2.78570283418299,1.9748440839011,0.616308981214987,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
17,"X5",3.87958329351015,2.36144851520653,0.577830892282973,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
18,"X1",0.030603305705203,0.485526836205231,0.0397747031416489,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
18,"X2",1.10248657478317,1.05117119722878,-0.153893765940428,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
18,"X3",2.03222729482424,1.50583407746595,0.294118216200546,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
18,"X4",3.05066769679919,2.19994142989918,-0.261019642779756,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
18,"X5",3.96882364593979,2.38457524802541,0.871573592917344,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
19,"X1",0.010817627960771,0.444610658238237,0.0528105840087043,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
19,"X2",1.03217763417881,1.07687411415433,0.0244621063630459,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
19,"X3",2.09860788914271,1.63130615535463,0.0935926343022929,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
19,"X4",3.1261720133558,1.93420053143479,0.268137284866262,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
19,"X5",3.76679550784586,2.68581334872899,0.70885868257897,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
20,"X1",0.118483305388201,0.523254557755211,-0.0492148991757514,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
20,"X2",1.10316067180983,0.966998819336546,0.308479843081792,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
20,"X3",2.05773757128468,1.60305453747798,0.151056806636402,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
20,"X4",2.95054456526843,1.88627055578002,0.729292727932962,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
20,"X5",4.10833855548177,2.7035247785327,0.516062476284664,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
21,"X1",0.0861584339266907,0.511488122824254,-0.0970290889136928,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
21,"X2",1.06001772441809,0.954821958261389,0.321451758146423,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
21,"X3",1.98226980828203,1.68588706739972,0.245432147847077,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
21,"X4",3.21728335088911,1.73924913118583,0.365387493245723,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
21,"X5",4.02229243770949,2.48211219714399,0.554562917229861,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
22,"X1",0.00171660687075372,0.572321649502898,0.100566999197337,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
22,"X2",1.18756970432257,0.805835749644857,0.114241827219362,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
22,"X3",1.8833782423214,1.45257112997795,0.497502892242527,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
22,"X4",3.12798440153974,2.15408729076201,0.091129203569636,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
22,"X5",4.06928491583688,2.37425602031302,0.751477338098019,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
23,"X1",0.0506262038777045,0.422180869536823,0.128963321750375,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
23,"X2",0.940505683013063,1.21128902698845,0.137191717069593,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
23,"X3",1.81651521995826,1.46712012746642,0.937670476242476,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
23,"X4",2.810841446977,1.90489361982527,0.580288119465732,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
23,"X5",3.97803909558967,2.49751842737061,0.915893911768567,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
