"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ErrorVar","Truth"
27,"X2",0.913195081411194,0.969758765659269,0.268908569915681,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
27,"X3",2.00403165826614,1.47299824626513,0.235368925903378,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
27,"X4",3.19353144966596,2.08100188191861,-0.0874780233168501,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
27,"X5",4.07754311716525,2.52686289771321,0.393512447729257,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
28,"X1",0.00349004061657395,0.484819986098181,0.0807203368457338,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
28,"X2",0.930539216327965,0.986407195924447,0.134410249049902,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
28,"X3",1.92946473062524,1.52064095594043,0.280460080885707,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
28,"X4",3.16358887787719,1.94307350960454,0.218744459640134,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
28,"X5",4.09579958539784,2.59707278391268,0.456627428637709,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
29,"X1",0.0581242528686319,0.426759105649435,0.0854770006779883,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
29,"X2",0.977303000241698,0.966167515053017,0.284695084442086,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
29,"X3",2.01831043478423,1.55372999474024,0.20779306987436,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
29,"X4",3.16602625392957,1.99516019464834,0.333002853420016,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
29,"X5",4.01874312111144,2.51325003759104,0.503890607298138,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
30,"X1",0.0574013411106513,0.545341894639655,-0.00359461058598733,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
30,"X2",1.05916010643874,1.06705737557284,0.0433805662051998,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
30,"X3",1.92410508100694,1.42674689094612,0.426186225133379,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
30,"X4",3.00570516136696,2.01133208151933,0.750932640275466,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
30,"X5",4.06184469902113,2.62586831179418,0.716237343026499,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
31,"X1",-0.0117233658154835,0.490649097301882,0.171907775805397,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
31,"X2",0.970408744189647,1.0132960571854,0.299572358033836,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
31,"X3",1.95733208985485,1.53371200364171,0.236427282854403,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
31,"X4",2.94670053295865,2.06146079543798,0.373445110044728,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
31,"X5",3.89076975284169,2.68523828546328,0.269312307946789,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
32,"X1",-0.0462867830574821,0.487504735206624,0.12570352333631,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
32,"X2",1.01679507131134,0.98969692975561,0.17235850210782,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
32,"X3",2.04750215556587,1.41873515218091,0.355943593374887,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
32,"X4",3.03612832385578,2.04579461977097,0.4807472774806,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
32,"X5",3.95880127446808,2.54387237495364,0.612710846478073,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
33,"X1",-0.0265278279381469,0.499935893620691,0.214888853104763,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
33,"X2",1.04928483795717,1.10512724805493,-0.0409782005951509,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
33,"X3",1.99900845042594,1.43453922729273,0.530257267693033,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
33,"X4",3.06280595573859,1.98089234936837,0.399887289089072,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
33,"X5",4.12526692232045,2.45818921290492,0.242651981126061,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
34,"X1",-0.0630495025279207,0.537164334958976,0.117991507176884,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
34,"X2",0.97837479347427,1.01248592480782,0.229143822445372,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
34,"X3",2.05492127436633,1.58776532106892,0.192534232479852,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
34,"X4",2.99475653790091,1.90394468309518,0.539826753683022,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
34,"X5",4.02185915823397,2.40709623042402,0.432108116272968,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
35,"X1",-0.0731060206200102,0.557231355724384,-0.00713609112305941,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
35,"X2",0.942148740312592,0.972948783617082,0.282289851618359,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
35,"X3",2.07775940271943,1.45765531180244,0.292426005070116,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
